,huber_loss
0,2.7756422296647103
1,0.6719156794058971
2,0.7290921211242676
3,0.7761198051514164
4,0.7432277563846472
5,0.8261298192174811
6,0.8795482484917891
7,0.9324253102143606
8,1.0329592496156692
9,0.977947921979995
10,1.0122790684302647
11,1.0197898546854656
12,1.021027477348552
13,1.0619899673121316
14,1.073129283754449
15,1.0488431983523898
16,1.0833667492866517
17,1.0814353459411197
18,1.167594457927503
19,1.1230416354678927
20,1.1154769659042358
21,1.1463067928949993
22,1.158460482954979
23,1.1708438363340166
24,1.185272629261017
25,1.1513191560904186
26,1.1694924036661785
27,1.176779080839718
28,1.17102360063129
29,1.103219552172555
30,1.134311510456933
31,1.3153483527047294
32,1.2231624215841292
33,1.2300959428151448
34,1.2434535134922375
35,1.2393643293115828
36,1.3126387357711793
37,1.2897032141685485
38,1.2196925845411088
39,1.2387060854170058
40,1.233970732915969
41,1.275032327288673
42,1.3132012287775676
43,1.289491401778327
44,1.2617767254511516
45,1.3084227707650926
46,1.319640559308669
47,1.26003859156654
48,1.2891355923243932
49,1.275618637309355
50,1.3107384045918782
51,1.516657697527032
52,1.4896862733931768
53,1.4683993193838332
54,1.4435053401523166
55,1.4818568794350875
56,1.412866745676313
57,1.4616613189379375
58,1.4029022946077234
59,1.3793440205710275
60,1.3883729974428813
61,1.5049318538771734
62,1.3923347557292265
63,1.464629285475787
64,1.3929331092273487
65,1.371992376115587
66,1.3756362166669633
67,1.4688257292697304
68,1.4894226088243372
69,1.4146291083759732
70,1.3738017545806036
71,1.6364645295672946
72,1.5117773782639277
73,1.4988579273223877
74,1.5455269953783821
75,1.485115177491132
76,1.5515961590267362
77,1.4744503928555384
78,1.4209560780298143
79,1.5396068162388272
80,1.5212037061390125
81,1.715783417224884
82,1.7008163664076064
83,1.6406358811590407
84,1.6374645630518596
85,1.6525572726601048
86,1.6677511201964483
87,1.7261194321844313
88,1.6084505452050104
89,1.6585982347789563
90,1.7747624972287346
91,1.72506978114446
92,1.724000957277086
93,1.7004535794258118
94,1.6069892942905426
95,1.6935093535317316
96,1.6855739498138427
97,1.6938167280621
98,1.772108925016303
99,1.728558083375295
