,episode,huber_loss
0,1.0,3.4723092019557953
1,2.0,0.6599362655119463
2,3.0,0.7529815341296949
3,4.0,0.8446192344029745
4,5.0,0.8404073311436561
5,6.0,0.9270339711852695
6,7.0,0.911654551823934
7,8.0,0.9859622319539388
8,9.0,0.986848551294078
9,10.0,0.9986584809693423
10,11.0,1.0417672222660435
11,12.0,1.2028960964896462
12,13.0,1.1803534485791858
13,14.0,1.2655079312946484
14,15.0,1.3412471271696544
15,16.0,1.3139487142148225
16,17.0,1.3465129698024076
17,18.0,1.3556734144687652
18,19.0,1.3697803983321557
19,20.0,1.4267232865095139
20,21.0,1.4491154650847118
21,22.0,1.424667052924633
22,23.0,1.4617763095431857
23,24.0,1.5007327596346538
24,25.0,1.4929207503795623
25,26.0,1.5101812056132726
26,27.0,1.5433432537576426
27,28.0,1.5815531760454178
28,29.0,1.5092266872525215
29,30.0,1.586077582836151
30,31.0,1.5772937163710594
31,32.0,1.6768337488174438
32,33.0,1.558225303888321
33,34.0,1.6598207255204518
34,35.0,1.598753295446697
35,36.0,1.5873749444359226
36,37.0,1.6112856600019667
37,38.0,1.642097188366784
38,39.0,1.5889662163598197
39,40.0,1.589153038130866
40,41.0,1.5695145924886067
41,42.0,1.636057271676905
42,43.0,1.6953204207950168
43,44.0,1.6920988843554543
44,45.0,1.6138510363442558
45,46.0,1.6154006242752075
46,47.0,1.5866356310637102
47,48.0,1.5834088325500488
48,49.0,1.5766533811887105
49,50.0,1.6693186571723537
