,loss
0,2.0944868821018146
1,1.402823543548584
2,1.399044608401361
3,1.467147617961255
4,1.4839849424362184
5,1.4751999974250793
6,1.3818985394069128
7,1.4348040003350326
8,1.3935643434524536
9,1.4445894058928432
10,1.491706629594167
11,1.1772003372510274
12,1.464823638017361
13,1.4324164487594782
14,1.440969768166542
15,1.4279692947090445
16,1.4410863512200736
17,1.453468965646814
18,1.5182203487916426
19,1.468225739218972
20,1.445047330675703
21,1.415254611492157
22,1.4451185647588576
23,1.4180869086624106
24,1.400498769167439
25,1.4010570081504616
26,1.400628407568508
27,1.4121965711767024
28,1.4882184777941023
29,1.3825200162282805
30,1.409049779176712
31,1.3855823699165792
32,1.4226353156292224
33,1.4270611337586945
34,1.453897476196289
35,1.4267474761549033
36,1.4363627454875845
37,1.4076486282710787
38,1.408289169271787
39,1.4278440956146485
40,1.406131814035137
41,1.4251986854826397
42,1.4236298201084137
43,1.4306255720502181
44,1.4134394332880864
45,1.4103299554656534
46,1.452139478205415
47,1.3985754833876631
48,1.414627681760227
49,1.4207793058705156
50,1.3806854089101155
51,1.3854690416984106
52,1.4762651294469833
53,1.445038080215454
54,1.4155673495948773
55,1.4262704996718574
56,1.4200314719502518
57,1.4503059059649974
58,1.3909283181031544
59,1.387861232932021
60,1.4160108190718863
61,1.432841810554561
62,1.4088508681872922
63,1.3836064652672835
64,1.4156728253552788
65,1.4733669422320184
66,1.368965831669894
67,1.3976170919262445
68,1.413938554979506
69,1.4158227692047756
70,1.3670455234892227
71,1.3963819816708565
72,1.3738549509538491
73,1.4592687884966533
74,1.4282248114114222
75,1.4357127508809489
76,1.3948610641739585
77,1.420191434212029
78,1.4243977839748065
79,1.427377740668643
80,1.418102343576123
81,1.397597816136792
82,1.4013316680098433
83,1.402073196285521
84,1.4223294991713304
85,1.42017627974688
86,
87,1.4612906966053072
88,1.3924067619503762
89,1.4143134585598058
90,1.3981273417119626
91,1.4187768074287765
92,1.3953361360772143
93,1.403719339275012
94,1.276710033416748
95,1.4118875539616536
96,1.4128610673158064
97,1.4064333566385716
98,1.4051958465290642
99,1.4010092684378226
